track name,artist name,album name,album artist name,album release date,track number,track duration (ms),Feature,Explicit,Popularity,Added By
All The Things (Your Man Won't Do),Joe,All That I Am,Joe,1997-09-23,1,380533,FALSE,FALSE,61,Omari
Nights Like This (feat. Ty Dolla $ign),"Kehlani, Ty Dolla $ign",While We Wait,Kehlani,2019-02-22,6,201787,TRUE,TRUE,78,kristen
Belong to You (feat. 6LACK),"Sabrina Claudio, 6LACK",About Time,Sabrina Claudio,2017-10-05,12,185617,TRUE,FALSE,63,Omari
How Many Drinks?,Miguel,Kaleidoscope Dream,Miguel,2012-09-28,7,272986,FALSE,TRUE,67,jas
"Hold On, We're Going Home","Drake, Majid Jordan",Nothing Was The Same,Drake,2013-01-01,8,227880,TRUE,FALSE,75,jas
III. Urn,Childish Gambino,Because the Internet,Childish Gambino,2013-12-10,16,73386,FALSE,TRUE,77,jas
Passionfruit,Drake,More Life,Drake,2017-03-18,3,298940,FALSE,TRUE,87,jas
Language,"Paperboy Fabe, Brent Faiyaz",Language,Paperboy Fabe,2017-05-12,1,150360,TRUE,TRUE,79,jas
Up Late,Ari Lennox,Shea Butter Baby,Ari Lennox,2019-05-07,4,266934,FALSE,TRUE,54,Omari
Ivy,Frank Ocean,Blonde,Frank Ocean,2016-08-20,2,249191,FALSE,TRUE,83,Omari
My Collection,Future,HNDRXX,Future,2017-07-27,1,255556,FALSE,TRUE,66,sunyaabbasi
Make It Better (feat. Smokey Robinson),"Anderson .Paak, Smokey Robinson",Ventura,Anderson .Paak,2019-04-12,2,219332,TRUE,FALSE,66,eunice
Bad Habit,Steve Lacy,Gemini Rights,Steve Lacy,2022-07-15,5,232066,FALSE,TRUE,86,eunice
The Dress,Dijon,Absolutely,Dijon,2021-11-05,6,184767,FALSE,FALSE,70,eunice
On the Low,Burna Boy,African Giant,Burna Boy,2019-07-25,16,185898,FALSE,FALSE,77,eunice
Spread Thin,Mariah the Scientist,Buckles Laboratories Presents: The Intermission,Mariah the Scientist,2022-03-11,3,202519,FALSE,FALSE,75,diaamondxo
Free Mind,Tems,For Broken Ears,Tems,2020-09-25,3,247578,FALSE,FALSE,76,diaamondxo
Snooze,SZA,SOS,SZA,2022-12-09,8,201800,FALSE,TRUE,92,diaamondxo
Gone Girl,SZA,SOS,SZA,2022-12-09,10,244026,FALSE,TRUE,74,diaamondxo
ALL MINE,Brent Faiyaz,WASTELAND,Brent Faiyaz,2022-07-08,6,216062,FALSE,TRUE,83,diaamondxo
Love Galore (Alt Version),SZA,Ctrl (Deluxe),SZA,2022-06-09,15,273777,FALSE,TRUE,67,diaamondxo
One Night Only,Sonder,One Night Only,Sonder,2018-02-09,1,195909,FALSE,FALSE,74,diaamondxo
worst behavior,Ariana Grande,Positions (Deluxe),Ariana Grande,2021-02-19,18,124281,FALSE,TRUE,65,diaamondxo
test drive,Ariana Grande,Positions (Deluxe),Ariana Grande,2021-02-19,16,122174,FALSE,FALSE,66,diaamondxo
obvious,Ariana Grande,Positions,Ariana Grande,2020-10-30,13,146958,FALSE,TRUE,64,diaamondxo
Princess Diana (with Nicki Minaj),"Ice Spice, Nicki Minaj",Princess Diana (with Nicki Minaj),"Ice Spice, Nicki Minaj",2023-04-14,1,172125,TRUE,TRUE,88,diaamondxo
Win Again,Nicki Minaj,The Pinkprint (Deluxe Edition),Nicki Minaj,2014-12-15,19,250453,FALSE,TRUE,42,diaamondxo
Thinkin Bout You,Frank Ocean,channel ORANGE,Frank Ocean,2012-07-10,2,200746,FALSE,FALSE,82,diaamondxo
Lost,Frank Ocean,channel ORANGE,Frank Ocean,2012-07-10,11,234093,FALSE,TRUE,87,diaamondxo
Pink + White,Frank Ocean,Blonde,Frank Ocean,2016-08-20,3,184516,FALSE,FALSE,90,diaamondxo
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,"Tyler\, The Creator",2017-07-21,4,180386,TRUE,TRUE,96,diaamondxo
BEST INTEREST,"Tyler, The Creator",BEST INTEREST,"Tyler\, The Creator",2020-01-25,1,127921,FALSE,TRUE,84,diaamondxo
November,"Tyler, The Creator",Flower Boy,"Tyler\, The Creator",2017-07-21,12,225346,FALSE,TRUE,68,diaamondxo
Super Rich Kids,"Frank Ocean, Earl Sweatshirt",channel ORANGE,Frank Ocean,2012-07-10,7,304760,TRUE,TRUE,77,diaamondxo
Die For You - Remix,"The Weeknd, Ariana Grande",Die For You (Remix),"The Weeknd, Ariana Grande",2023-02-24,1,232857,TRUE,FALSE,92,diaamondxo
My Affection (with PARTYNEXTDOOR),"Summer Walker, PARTYNEXTDOOR",Life On Earth - EP,Summer Walker,2020-07-10,3,213933,TRUE,TRUE,60,diaamondxo
SAVAGE ANTHEM,PARTYNEXTDOOR,PARTYMOBILE,PARTYNEXTDOOR,2020-03-27,14,376061,FALSE,TRUE,57,diaamondxo
Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,6,99213,FALSE,TRUE,86,diaamondxo
U Are My High (with Future),"DJ Snake, Future",U Are My High (with Future),"DJ Snake, Future",2021-12-03,1,211200,TRUE,FALSE,80,diaamondxo
LOVE YOU BETTER,Future,I NEVER LIKED YOU,Future,2022-04-29,8,129479,FALSE,TRUE,75,diaamondxo
say im ur luv,UMI,Forest in the City,UMI,2022-05-26,3,151906,FALSE,FALSE,64,jas
Parade on Cleveland (feat. Drake),"Young Thug, Drake",BUSINESS IS BUSINESS,Young Thug,2023-06-23,1,228266,TRUE,TRUE,78,kusamaeglobal
She,"Tyler\, The Creator, Frank Ocean",Goblin,"Tyler\, The Creator",2011-05-09,4,253386,TRUE,TRUE,79,kusamaeglobal
Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,MM...FOOD,MF DOOM,2004-11-16,13,172893,FALSE,TRUE,81,sunyaabbasi
Heart Don't Stand a Chance,Anderson .Paak,Malibu,Anderson .Paak,2016-01-15,2,312360,FALSE,TRUE,62,jas
